                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 2.2324,                 2.5111,                 2.6135,                0.24099,                0.26372,                0.17754,                 0.0558,                 2.2696,                 2.5463,                 2.6946,             0.00077582,             0.00077582,             0.00077582
                     83,                  2.266,                 2.6003,                 2.6045,                0.23516,                 0.2829,                0.16767,                0.05283,                 2.2629,                 2.5762,                 2.6891,             0.00076482,             0.00076482,             0.00076482
                     84,                 2.2443,                 2.5051,                 2.5644,                 0.2403,                0.28189,                0.16681,                0.05312,                 2.3035,                 2.6031,                 2.6948,             0.00075382,             0.00075382,             0.00075382
                     85,                 2.2705,                 2.5596,                 2.5926,                0.26344,                 0.2572,                0.16317,                0.05199,                 2.3059,                 2.6122,                 2.6932,             0.00074282,             0.00074282,             0.00074282
                     86,                 2.2153,                 2.4784,                 2.5761,                0.25483,                0.26269,                0.16169,                0.05306,                 2.2664,                 2.5672,                 2.6859,             0.00073181,             0.00073181,             0.00073181
                     87,                 2.2128,                 2.5503,                 2.5926,                0.24381,                 0.2885,                0.16077,                0.05257,                 2.2765,                 2.5563,                 2.7038,             0.00072081,             0.00072081,             0.00072081
                     88,                 2.2823,                 2.5737,                 2.6433,                0.23372,                0.26132,                0.17639,                0.05749,                 2.2985,                  2.541,                 2.7116,             0.00070981,             0.00070981,             0.00070981
                     89,                 2.2321,                 2.4684,                 2.5752,                0.25524,                0.27145,                0.18866,                0.06269,                 2.2353,                 2.5026,                 2.6706,             0.00069881,             0.00069881,             0.00069881
                     90,                 2.2084,                 2.5029,                 2.5297,                0.24499,                 0.3074,                0.19252,                0.06081,                 2.2549,                 2.5046,                 2.6802,              0.0006878,              0.0006878,              0.0006878
                     91,                 2.2126,                 2.4757,                 2.5717,                0.22893,                 0.3116,                0.18479,                0.06006,                 2.2697,                 2.5293,                 2.6838,              0.0006768,              0.0006768,              0.0006768
                     92,                 2.2313,                  2.531,                  2.564,                0.23932,                0.33786,                0.20272,                0.06742,                 2.2221,                  2.532,                  2.636,              0.0006658,              0.0006658,              0.0006658
                     93,                 2.2304,                 2.5143,                 2.5409,                0.22244,                0.32507,                0.18612,                0.06252,                 2.2336,                 2.5344,                 2.6369,              0.0006548,              0.0006548,              0.0006548
                     94,                 2.2042,                 2.5179,                 2.5389,                0.24136,                0.27436,                0.19438,                0.06545,                 2.2512,                 2.4963,                  2.655,              0.0006438,              0.0006438,              0.0006438
                     95,                 2.2694,                 2.4577,                   2.58,                0.25357,                0.28389,                 0.1977,                0.06827,                 2.2322,                 2.4945,                 2.6489,             0.00063279,             0.00063279,             0.00063279
                     96,                 2.2704,                  2.437,                 2.5684,                0.30343,                0.26209,                0.20653,                0.07163,                 2.2224,                 2.5332,                 2.6321,             0.00062179,             0.00062179,             0.00062179
                     97,                 2.2188,                  2.488,                 2.5484,                0.30375,                0.30534,                0.21127,                0.07431,                 2.2228,                  2.532,                 2.6221,             0.00061079,             0.00061079,             0.00061079
                     98,                 2.1884,                   2.58,                 2.5542,                 0.2883,                0.29841,                 0.2144,                0.07368,                 2.1991,                 2.5118,                   2.61,             0.00059979,             0.00059979,             0.00059979
                     99,                 2.1368,                 2.4507,                 2.5278,                0.30465,                0.31613,                0.22186,                0.07672,                 2.1883,                  2.501,                 2.6055,             0.00058878,             0.00058878,             0.00058878
                    100,                 2.1537,                 2.4643,                 2.5239,                0.30855,                0.29747,                0.22856,                0.08125,                 2.1802,                 2.4992,                 2.5945,             0.00057778,             0.00057778,             0.00057778
                    101,                 2.1331,                 2.4919,                 2.5271,                0.32897,                0.29025,                0.22852,                0.07917,                 2.1907,                 2.5046,                 2.5987,             0.00056678,             0.00056678,             0.00056678
                    102,                 2.1817,                 2.4057,                  2.518,                0.32651,                0.30747,                0.23283,                0.08107,                 2.1993,                 2.4747,                 2.6166,             0.00055578,             0.00055578,             0.00055578
                    103,                  2.201,                  2.459,                 2.5354,                0.33135,                0.31239,                0.23681,                0.08207,                 2.2015,                 2.4609,                 2.6171,             0.00054478,             0.00054478,             0.00054478
                    104,                 2.1936,                 2.4787,                 2.5176,                0.32045,                 0.2899,                0.23425,                0.08119,                 2.1769,                 2.4329,                 2.6013,             0.00053377,             0.00053377,             0.00053377
                    105,                 2.1517,                 2.4173,                 2.5011,                0.30232,                0.29878,                0.23062,                0.08056,                 2.1752,                 2.4341,                 2.6028,             0.00052277,             0.00052277,             0.00052277
                    106,                 2.1539,                 2.4458,                 2.5196,                0.29298,                0.30459,                0.22487,                0.07956,                 2.1527,                 2.4208,                 2.5891,             0.00051177,             0.00051177,             0.00051177
                    107,                  2.152,                 2.4228,                 2.4985,                0.29538,                0.32279,                0.23046,                0.07982,                 2.1488,                 2.4186,                 2.5829,             0.00050077,             0.00050077,             0.00050077
                    108,                 2.1238,                 2.4342,                 2.5056,                0.30111,                0.32055,                0.23907,                0.08218,                 2.1614,                 2.3981,                 2.5824,             0.00048976,             0.00048976,             0.00048976
                    109,                 2.1836,                  2.409,                 2.5118,                0.30763,                0.30934,                 0.2493,                 0.0855,                 2.1633,                 2.3847,                 2.5813,             0.00047876,             0.00047876,             0.00047876
                    110,                 2.1661,                  2.422,                 2.5133,                0.29796,                0.30146,                0.24488,                0.08769,                 2.1365,                  2.376,                 2.5697,             0.00046776,             0.00046776,             0.00046776
                    111,                 2.1691,                 2.4545,                 2.5224,                0.31615,                0.31021,                0.24363,                0.08743,                 2.1259,                 2.3735,                 2.5611,             0.00045676,             0.00045676,             0.00045676
                    112,                  2.097,                 2.3811,                 2.4928,                0.29334,                 0.3486,                0.25022,                0.09089,                 2.1284,                 2.3819,                  2.562,             0.00044576,             0.00044576,             0.00044576
                    113,                  2.124,                 2.3966,                  2.476,                0.30088,                0.35222,                0.25221,                0.09084,                 2.1309,                 2.3829,                 2.5596,             0.00043475,             0.00043475,             0.00043475
                    114,                 2.1108,                 2.4378,                 2.4796,                0.30363,                0.32618,                0.24905,                0.08936,                 2.1373,                 2.3752,                 2.5492,             0.00042375,             0.00042375,             0.00042375
                    115,                  2.107,                 2.4405,                 2.4567,                0.29292,                0.33139,                0.24545,                0.08937,                 2.1392,                 2.3709,                 2.5439,             0.00041275,             0.00041275,             0.00041275
                    116,                 2.1509,                 2.4331,                 2.4565,                0.32796,                0.31541,                 0.2399,                0.08762,                 2.1382,                 2.3722,                 2.5458,             0.00040175,             0.00040175,             0.00040175
                    117,                 2.1478,                 2.3958,                  2.489,                0.33488,                0.30977,                0.23987,                0.08936,                 2.1422,                 2.3765,                 2.5538,             0.00039074,             0.00039074,             0.00039074
                    118,                 2.1392,                 2.3962,                 2.4732,                0.33435,                0.31513,                0.25011,                0.09201,                 2.1384,                 2.3633,                 2.5507,             0.00037974,             0.00037974,             0.00037974
                    119,                 2.1316,                 2.3864,                  2.477,                0.33827,                0.33417,                0.24735,                 0.0922,                 2.1209,                 2.3619,                 2.5415,             0.00036874,             0.00036874,             0.00036874
                    120,                 2.0929,                  2.402,                 2.4755,                0.32078,                0.32982,                0.25022,                0.09319,                 2.1059,                 2.3557,                 2.5353,             0.00035774,             0.00035774,             0.00035774
                    121,                 2.0758,                 2.4293,                 2.4624,                0.31901,                0.32612,                0.26051,                0.09451,                 2.1086,                 2.3533,                 2.5394,             0.00034674,             0.00034674,             0.00034674
                    122,                  2.108,                 2.3437,                 2.4512,                0.36575,                0.32562,                0.28035,                0.10023,                  2.105,                 2.3505,                 2.5435,             0.00033573,             0.00033573,             0.00033573
                    123,                 2.0681,                 2.3685,                   2.46,                0.39456,                 0.3293,                0.28784,                0.10276,                 2.0977,                 2.3433,                 2.5406,             0.00032473,             0.00032473,             0.00032473
                    124,                 2.0349,                 2.3587,                 2.4159,                0.37396,                0.33907,                0.28288,                0.10628,                   2.08,                 2.3404,                  2.538,             0.00031373,             0.00031373,             0.00031373
                    125,                 2.1116,                 2.3925,                 2.4305,                0.38146,                0.34963,                0.28999,                0.10857,                 2.0785,                 2.3436,                 2.5343,             0.00030273,             0.00030273,             0.00030273
                    126,                  2.053,                 2.3374,                 2.4375,                0.36841,                0.32207,                0.28066,                0.10882,                 2.0864,                 2.3382,                  2.533,             0.00029172,             0.00029172,             0.00029172
                    127,                 2.0791,                 2.3841,                  2.442,                0.36017,                0.32793,                0.27774,                0.10476,                 2.0896,                 2.3245,                 2.5303,             0.00028072,             0.00028072,             0.00028072
                    128,                 2.0962,                 2.3906,                 2.4609,                0.35281,                0.36097,                 0.2734,                0.10336,                 2.0787,                 2.3005,                  2.525,             0.00026972,             0.00026972,             0.00026972
                    129,                 2.1012,                 2.3447,                 2.4529,                0.33662,                0.34527,                0.26872,                0.10154,                 2.0704,                 2.2934,                 2.5226,             0.00025872,             0.00025872,             0.00025872
                    130,                 2.1058,                 2.3753,                 2.4589,                0.35107,                0.32843,                0.26447,                0.10051,                 2.0589,                 2.2781,                 2.5114,             0.00024772,             0.00024772,             0.00024772
                    131,                 2.0606,                 2.3976,                 2.4571,                0.35182,                0.33012,                0.26089,                0.10076,                 2.0522,                 2.2707,                 2.5051,             0.00023671,             0.00023671,             0.00023671
                    132,                 2.0978,                 2.3941,                  2.469,                0.38728,                0.33564,                0.27589,                0.10455,                 2.0446,                 2.2708,                 2.5037,             0.00022571,             0.00022571,             0.00022571
                    133,                 2.0679,                 2.3164,                 2.4407,                0.38011,                0.33062,                0.27767,                0.10504,                 2.0447,                 2.2727,                 2.5058,             0.00021471,             0.00021471,             0.00021471
                    134,                 2.1107,                 2.3185,                  2.452,                0.37908,                0.32684,                0.29211,                0.11171,                 2.0425,                  2.264,                 2.4983,             0.00020371,             0.00020371,             0.00020371
                    135,                 2.0199,                 2.2965,                 2.3833,                 0.3704,                0.32567,                0.29447,                0.11513,                 2.0433,                 2.2542,                 2.4931,             0.00019271,             0.00019271,             0.00019271
                    136,                 2.0106,                 2.2715,                 2.4217,                0.40408,                0.34948,                0.30169,                0.11864,                 2.0438,                 2.2514,                 2.4907,              0.0001817,              0.0001817,              0.0001817
